Grupos,Controle_2
Sabao_2,160.99
Sabao_2,161.45
Sabao_2,161.78
Sabao_2,162.09
Sabao_2,161.36
Sabao_2,160.69
Sabao_2,159.74
Sabao_2,160.49
Sabao_2,160.15
Sabao_2,159.68
Sabao_2,159.82
Sabao_2,160.46
Sabao_2,160.76
Sabao_2,161.95
Sabao_2,161.18
Sabao_2,162.37
Sabao_2,161.57
Sabao_2,160.95
Sabao_2,160.33
Sabao_2,159.54
Sabao_2,159.57
Sabao_2,159.67
Sabao_2,159.36
Sabao_2,159.96
Sabao_2,161.26
Sabao_2,162.21
Sabao_2,162.24
Sabao_2,161.41
Sabao_2,161.20
Sabao_2,160.51
Sabao_2,160.04
Sabao_2,159.95
Sabao_2,160.26
Sabao_2,159.85
Sabao_2,159.85
Sabao_2,160.21
Sabao_2,162.49
Sabao_2,163.30
Sabao_2,162.95
Sabao_2,163.10
Sabao_2,162.07
Sabao_2,160.74
Sabao_2,160.15
Sabao_2,160.53
Sabao_2,160.47
Sabao_2,160.52
Sabao_2,161.08
Sabao_2,161.57
Sabao_2,161.52
Sabao_2,162.39
Sabao_2,163.13
Sabao_2,163.14
Sabao_2,162.92
Sabao_2,161.88
Sabao_2,160.41
Sabao_2,160.37
Sabao_2,160.09
Candida_2,175.91
Candida_2,176.16
Candida_2,176.00
Candida_2,175.48
Candida_2,175.38
Candida_2,175.67
Candida_2,175.77
Candida_2,176.77
Candida_2,177.76
Candida_2,177.31
Candida_2,177.21
Candida_2,177.23
Candida_2,177.48
Candida_2,177.41
Candida_2,177.53
Candida_2,178.28
Candida_2,177.84
Candida_2,177.05
Candida_2,176.78
Candida_2,176.22
Candida_2,176.99
Candida_2,177.46
Candida_2,177.49
Candida_2,178.22
Candida_2,179.19
Candida_2,178.98
Candida_2,178.31
Candida_2,177.70
Candida_2,177.36
Candida_2,177.47
Candida_2,177.73
Candida_2,178.39
Candida_2,178.72
Candida_2,178.64
Candida_2,178.02
Candida_2,177.28
Candida_2,176.95
Candida_2,176.68
Candida_2,176.64
Candida_2,177.31
Candida_2,177.85
Candida_2,177.60
Candida_2,177.31
Candida_2,176.88
Candida_2,176.99
Candida_2,177.47
Candida_2,177.70
Candida_2,178.14
Candida_2,178.32
Candida_2,178.01
Candida_2,178.26
Candida_2,178.43
Candida_2,178.45
Candida_2,178.33
Candida_2,178.15
Candida_2,178.26
Candida_2,178.30
Candida_2,178.76
Candida_2,178.91
Candida_2,178.83
Candida_2,179.18
Candida_2,179.38
Candida_2,180.15
Candida_2,180.93
Candida_2,181.22
Candida_2,180.92
Candida_2,181.09
Candida_2,181.28
Candida_2,181.45
Candida_2,181.61
Candida_2,181.17
Candida_2,181.26
Candida_2,181.04
Candida_2,180.68
Candida_2,180.86
Candida_2,180.95
Candida_2,180.36
Candida_2,180.14
Candida_2,179.82
Candida_2,179.44
Candida_2,178.49
Candida_2,178.52
Candida_2,178.55
Candida_2,178.38
Candida_2,178.11
Candida_2,177.86
Candida_2,178.00
Candida_2,178.62
Candida_2,178.32
Candida_2,178.15
Candida_2,178.47
Candida_2,179.01
Candida_2,179.07
Candida_2,178.35
Candida_2,177.97
Candida_2,178.45
Candida_2,178.53
Candida_2,178.92
Candida_2,178.65
Candida_2,178.69
Candida_2,178.85
Candida_2,178.66
Candida_2,177.67
Candida_2,177.08
Candida_2,177.44
Candida_2,178.22
Candida_2,178.28
Candida_2,178.33
Candida_2,178.76
Candida_2,179.18
Candida_2,178.69
Candida_2,177.94
Candida_2,178.13
Candida_2,178.32
Candida_2,179.07
Candida_2,179.15
Candida_2,179.35
Candida_2,179.68
Candida_2,179.76
Candida_2,179.43
Candida_2,179.33
Candida_2,179.51
Candida_2,179.59
Candida_2,180.00
Candida_2,180.60
Candida_2,180.99
Candida_2,180.87
Candida_2,180.89
Candida_2,180.47
Candida_2,180.31
Candida_2,180.43
Candida_2,180.02
